income,education,age
10566,Primary School,51
12526,Primary School,60
15312,Bachelor degree,56
14263,Bachelor degree,56
12149,Higher Diploma,57
10060,Primary School,55
10606,Higher Diploma,57
13218,Primary School,55
14690,Higher Diploma,56
13593,Primary School,50
14463,Primary School,54
15387,Primary School,50
10093,Primary School,52
15842,Primary School,51
11742,Primary School,58
,Higher Diploma,55
14316,Primary School,58
14992,Primary School,56
10513,Primary School,55
15997,Primary School,52
11024,Bachelor degree,59
13038,Primary School,59
14205,Primary School,54
12740,Primary School,60
11995,Primary School,52
13884,Primary School,52
10063,Bachelor degree,57
13586,Primary School,55
10736,Primary School,52
10740,Primary School,59
15470,Primary School,57
14426,Primary School,
10626,Primary School,52
11796,Primary School,54
12514,Primary School,55
11073,Secondary School,53
15581,Secondary School,51
14403,Secondary School,55
14708,Bachelor degree,60
15334,Secondary School,53
12850,Primary School,54
14169,Primary School,55
12734,Bachelor degree,52
13065,Primary School,54
12340,Primary School,56
13895,Primary School,59
12019,Primary School,56
11927,Primary School,56
15845,Bachelor degree,54
10715,Primary School,54
12188,Primary School,59
13187,Primary School,50
11368,Primary School,56
15389,Primary School,59
12402,,52
15047,Primary School,56
10442,Primary School,55
14800,Primary School,55
15826,Primary School,58
10163,Primary School,58
16897,Secondary School,57
17901,Secondary School,59
12459,Secondary School,59
14274,Secondary School,55
15119,Secondary School,56
14743,Bachelor degree,48
17278,Secondary School,53
16008,Secondary School,57
18296,Secondary School,51
15324,Secondary School,46
14800,Secondary School,46
12998,Bachelor degree,46
18778,Higher Diploma,57
13402,Secondary School,46
18045,Secondary School,45
15933,Secondary School,45
18169,Bachelor degree,59
18486,Secondary School,55
12543,Secondary School,50
13107,Secondary School,52
14072,Secondary School,57
12980,Secondary School,54
18609,Secondary School,52
16385,Secondary School,45
13693,Secondary School,52
18104,Secondary School,48
12667,Secondary School,53
13696,Secondary School,50
18093,Bachelor degree,57
18642,Secondary School,54
14164,Secondary School,59
15073,Secondary School,60
16478,Secondary School,46
18358,Secondary School,47
14334,Secondary School,54
15123,Secondary School,45
15874,Secondary School,50
13069,Secondary School,45
17235,Bachelor degree,50
12388,Secondary School,47
16402,Secondary School,45
12573,Secondary School,59
14855,Bachelor degree,53
13405,Secondary School,52
16194,Secondary School,58
13708,Secondary School,50
18600,Secondary School,48
17772,Secondary School,54
13013,Higher Diploma,48
14841,Higher Diploma,60
14004,Secondary School,50
18582,Secondary School,57
18013,Higher Diploma,50
16969,Secondary School,49
18618,Higher Diploma,50
14523,Secondary School,52
13477,Secondary School,58
12999,Higher Diploma,51
16204,Secondary School,49
14611,Secondary School,53
18900,Higher Diploma,40
18256,Higher Diploma,59
14067,Higher Diploma,54
19531,Higher Diploma,29
15295,Higher Diploma,54
15497,Higher Diploma,49
15701,Higher Diploma,48
15394,Higher Diploma,30
16329,Higher Diploma,34
16072,Higher Diploma,54
16957,Higher Diploma,37
16244,Higher Diploma,56
17180,Higher Diploma,58
15470,Higher Diploma,43
16497,Higher Diploma,25
17621,Higher Diploma,37
20364,Higher Diploma,52
15498,Higher Diploma,50
18367,Higher Diploma,51
18587,Higher Diploma,55
14037,Higher Diploma,26
19482,Higher Diploma,46
15940,Higher Diploma,29
20339,Higher Diploma,30
16652,Higher Diploma,36
20923,Higher Diploma,52
18975,Higher Diploma,47
20395,Higher Diploma,34
16895,Higher Diploma,29
16478,Higher Diploma,36
16875,Higher Diploma,56
20584,Higher Diploma,31
15884,Higher Diploma,49
15827,Higher Diploma,28
20808,Higher Diploma,45
15575,Higher Diploma,58
14710,Higher Diploma,28
15551,Higher Diploma,57
14594,Higher Diploma,50
14043,Bachelor degree,39
14845,Bachelor degree,41
16948,Bachelor degree,37
18719,Higher Diploma,45
14888,Higher Diploma,58
17644,Higher Diploma,32
19295,Higher Diploma,53
17939,Higher Diploma,34
18751,Higher Diploma,44
17303,Higher Diploma,40
17242,Higher Diploma,55
20677,Higher Diploma,31
19298,Higher Diploma,27
16535,Higher Diploma,53
16270,Higher Diploma,35
19236,Higher Diploma,43
19470,Bachelor degree,52
20663,Bachelor degree,59
17082,Bachelor degree,53
18280,Higher Diploma,33
15876,Higher Diploma,26
25835,Bachelor degree,30
22028,Bachelor degree,55
17492,Bachelor degree,41
20950,Bachelor degree,57
18764,Bachelor degree,29
23090,Bachelor degree,49
19141,Bachelor degree,56
25988,Bachelor degree,52
25478,Bachelor degree,58
20510,Bachelor degree,29
16149,Higher Diploma,29
24554,Bachelor degree,55
23553,Bachelor degree,52
24587,Bachelor degree,54
16325,Bachelor degree,57
25438,Bachelor degree,42
16490,Bachelor degree,39
24671,Higher Diploma,39
22074,Bachelor degree,33
16869,Bachelor degree,38
16501,Bachelor degree,38
25337,Bachelor degree,28
23783,Bachelor degree,35
20722,Bachelor degree,39
21724,Higher Diploma,43
19005,Bachelor degree,58
17062,Bachelor degree,34
17594,Bachelor degree,58
18413,Bachelor degree,47
19462,Bachelor degree,41
17035,Bachelor degree,44
18109,Bachelor degree,46
20151,Bachelor degree,28
22440,Bachelor degree,54
21782,Bachelor degree,39
16342,Master degree,59
18342,Master degree,58
23143,Master degree,37
16030,Bachelor degree,44
20582,Bachelor degree,51
21398,Bachelor degree,35
16198,Bachelor degree,40
21061,Bachelor degree,29
25187,Bachelor degree,59
17959,Bachelor degree,56
22117,Bachelor degree,55
17741,Master degree,50
19114,Master degree,35
17166,Master degree,25
23339,Bachelor degree,47
22395,Bachelor degree,43
19657,Bachelor degree,28
23944,Bachelor degree,56
17118,Bachelor degree,33
23969,Bachelor degree,31
20870,Bachelor degree,25
22413,Bachelor degree,59
23994,Bachelor degree,49
17068,Bachelor degree,33
20503,Bachelor degree,42
23734,Master degree,43
29109,Master degree,28
23043,Master degree,50
26351,Master degree,42
20627,Bachelor degree,41
29681,Bachelor degree,27
27352,Bachelor degree,36
24985,Master degree,52
27814,Bachelor degree,43
28189,Bachelor degree,44
20904,Bachelor degree,43
22433,Master degree,34
26622,Master degree,38
20339,Master degree,53
24562,Master degree,50
29696,Bachelor degree,36
29724,Bachelor degree,28
25737,Bachelor degree,48
25699,Master degree,26
27073,Master degree,56
22682,Master degree,31
26146,Master degree,34
20724,Master degree,52
20502,Master degree,55
21962,Higher Diploma,43
23594,Master degree,55
24482,Master degree,30
28489,Master degree,47
26044,Higher Diploma,44
24688,Master degree,36
23834,Master degree,43
27512,Master degree,45
28107,Master degree,40
29362,Master degree,36
25748,Master degree,26
25633,Master degree,44
20694,Master degree,50
22663,Master degree,38
22315,Master degree,53
28426,Master degree,51
27356,Master degree,45
24917,Master degree,55
23521,Master degree,60
20835,Master degree,32
23159,Master degree,45
24740,Master degree,45
21272,Master degree,27
20850,Master degree,29
28462,Master degree,56
20110,Master degree,38
26476,Master degree,26
29911,Master degree,38
23508,Master degree,34
25231,Master degree,50
28383,Master degree,52
23604,Master degree,42
23301,Master degree,38
25371,Master degree,34
22031,Master degree,34
22005,Master degree,60
